counter,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q2_text,Q3,Q3_text,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_text,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_text,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_text,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11a_1,Q11a_2,Q11a_3,Q11a_4,Q11a_5,Q11a_6,Q11a_7,Q11a_8,Q11a_9,Q11a_10,Q11a_11,Q11a_12,Q11b_1,Q11b_2,Q11b_3,Q11b_4,Q11b_5,Q11b_6,Q11b_7,Q11b_8,Q11b_9,Q11b_10,Q11b_11,Q11b_12,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_text,Q13,Q14_text,Q15,Q15_text,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_text,Q19,Q19_text,Q20,Q21,Q22,Q23
26,20,5, ,25,50, , ,academic, ,Ecology, ,No,No,No,Yes,No,No,No,No,No,No, ,none,none,some,some,some, , , ,No,No,No,Yes,No,No,No,No,No, ,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,agree strongly,neither agree nor disagree,disagree strongly,disagree strongly,neither agree nor disagree,agree somewhat,disagree strongly,agree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Associate Professor, ,United States of America,Florida,41,Female
27, , , ,100, , , ,academic, ,Ecology, ,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,none,none,none,none,none,none,none,so far only available on request from PI,No,No,No,No,No,No,No,Yes,No, ,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,disagree somewhat,agree strongly,agree strongly,disagree strongly,disagree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No, ,No,Collaborators would need to approve,Federal/national government, ,Yes,No,No,No,No,Yes,Yes,No,No,No,No, ,Post-doctoral fellow, ,United States of America,California,33,Female
28, , , ,100, , , ,academic, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,all,some, , , ,none, , ,No,No,No,No,No,No,No,Yes,No, ,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,Don't know,Yes,No,Yes,No,No,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,California,35,Female
29,40, , ,60, , , ,government, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,some,none,some,none,none,none, , ,No,No,No,Yes,No,No,No,No,Yes,need to QA & publish,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree strongly,agree somewhat,agree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,agree somewhat, ,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,not aware of std's,No,federal agency approval,Federal/national government, ,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Oregon,54,Male
30,20, ,10,60,10, , ,academic, ,Environmental science, ,No,No,Yes,No,Yes,No,No,No,Yes,No, ,some,some,none,none,none,some, , ,No,No,No,No,Yes,Yes,Yes,Yes,No, ,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,No, ,Professor, ,United States of America,Pennsylvania,60,Female
31, , , ,100, , , ,government, ,Environmental science, ,Yes,No,Yes,No,No,No,No,Yes,No,No, ,some, ,some,some, , , , ,Yes,No,No,No,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,Tennessee,32,Male
32,20,10,10,30,30, , ,academic, ,Biology, ,No,Yes,No,Yes,No,Yes,No,Yes,No,No, ,some,some,all,all,some,all, , ,Yes,No,No,Yes,No,No,Yes,No,No, ,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree somewhat,neither agree nor disagree,disagree strongly,disagree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,Yes,No, ,Professor, ,Spain, ,53,Male
33,10,10, ,40,30,10, ,academic, ,Information science, ,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No, ,none,some,none,none, ,some, , ,Yes,No,No,Yes,Yes,No,Yes,Yes,No, ,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,agree strongly,agree strongly,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Associate Professor, ,Canada, ,46,Female
34,10,5,0,90, , , ,academic, ,Ecology, ,No,No,Yes,Yes,No,No,Yes,Yes,No,No, , , , , , , ,all, ,No,Yes,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,disagree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Graduate student, ,United States of America,Colorado,36,Female
35, , , , , ,100, ,government, ,Medicine,public health,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No, ,some,some,some,some,some, , , ,No,No,No,No,No,No,No,No,No, ,neither agree nor disagree,disagree strongly,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,disagree strongly,disagree strongly,agree strongly,disagree strongly,agree strongly,agree strongly,agree strongly, , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,No,No,No,Yes,No, ,No, ,Federal/national government, ,Don't know,No,No,No,No,No,No,No,No,No,No, ,Administrator, ,United States of America,D.C., , 
36,10,20,5,55,10, , ,other,Private individual,Atmospheric science, ,No,No,Yes,Yes,No,No,Yes,No,No,No, ,some, ,most, , , , , ,Yes,No,No,Yes,Yes,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No, ,Other,Self-employed,United States of America,Vermont,64,Male
37,20,10,20,50, , , ,commercial, ,Environmental science, ,Yes,Yes,No,Yes,No,No,Yes,No,No,No, ,most, ,some,some,some,none,none, ,No,No,No,No,No,No,No,Yes,No, ,neither agree nor disagree,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,disagree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No, ,No,sometimes legal clearance,Corporation, ,No,No,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,United States of America,Indiana,47,Male
38,10,10,25,40,15,0, ,government, ,Atmospheric science, ,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No, ,none,none,all, ,all,none,none, ,Yes,Yes,Yes,Yes,No,No,Yes,No,No, ,agree somewhat,neither agree nor disagree,agree strongly,agree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,neither agree nor disagree,disagree strongly,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,neither agree nor disagree,neither agree nor disagree,disagree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,neither agree nor disagree,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree strongly,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,Yes,No,Yes,No,No,No,No,No, ,Researcher, ,Canada, ,50,Male
39, , , ,85,15, , ,academic, ,Ecology, ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,none, , , , , ,all,data available by request,Yes,Yes,No,No,No,No,No,No,No, ,disagree somewhat,disagree somewhat,disagree strongly,neither agree nor disagree,disagree strongly,disagree somewhat,agree strongly,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,Yes,Yes,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,United States of America,Maryland,55,Male
40, ,30,10,50,10, , ,government, ,Environmental science, ,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No, ,some,some,none,none,none,none, , ,Yes,Yes,Yes,No,No,No,No,No,No, ,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree strongly,agree somewhat,agree somewhat,agree strongly,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,agree somewhat,disagree somewhat,agree somewhat,disagree strongly,disagree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,agree strongly,disagree strongly,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,Yes,No,No,No,No,No,No,No,Yes,No, ,Researcher, ,United States of America,New Mexico, ,Male
41,10,0,0,90,0,0, ,academic, ,Ecology, ,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No, ,none,some,most,none,none,some,none, ,No,Yes,No,Yes,No,No,Yes,No,No, ,agree strongly,agree somewhat,disagree somewhat,agree somewhat,disagree strongly,agree strongly,agree somewhat,disagree strongly,neither agree nor disagree,disagree somewhat,disagree strongly,disagree strongly,disagree somewhat,disagree somewhat,disagree strongly,disagree somewhat,disagree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree strongly,agree strongly,disagree somewhat,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,Yes,No,No,No,Yes,No,No,No,No,No, ,Researcher, ,United States of America,Alabama,35,Male
42,15,15,0,50,20, , ,academic, ,Atmospheric science, ,No,No,No,No,No,Yes,Yes,Yes,No,No, ,some,some,some, ,some,none, , ,Yes,No,Yes,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,neither agree nor disagree,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree strongly,neither agree nor disagree,disagree strongly,disagree strongly,disagree somewhat,disagree strongly,agree somewhat,agree strongly,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for some of my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,No,OCDC,Post-doctoral fellow, ,Switzerland, ,34,Male
43,40, , ,60, , , ,government, ,Ecology, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,some,most,some,none,some,some, , ,No,No,No,Yes,No,No,No,No,No, ,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,agree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,agree somewhat,agree somewhat,disagree somewhat,neither agree nor disagree,disagree strongly,agree somewhat,disagree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,disagree somewhat,agree somewhat,neither agree nor disagree,agree somewhat,agree strongly,agree somewhat,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No, ,Yes - for all my datasets, ,Federal/national government, ,Yes,No,No,No,No,No,No,No,No,No,Yes,None,Researcher, ,United States of America,Minnesota, ,Male
44, , , ,99,1, , ,academic, ,Ecology, ,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No, , , , , , , , , ,Yes,No,No,No,Yes,No,Yes,No,No, , , , , , ,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,disagree strongly,disagree strongly,agree somewhat,disagree somewhat,disagree strongly,neither agree nor disagree,neither agree nor disagree,agree strongly,agree strongly,agree strongly,neither agree nor disagree,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat,agree strongly,agree strongly,agree strongly,agree somewhat, , , , , , , , , , , , , , , , , , , , , , , , ,No,No,No,No,No,No,No,No,No,No, ,Yes - for all my datasets, ,Federal/national government, ,No,No,No,No,No,No,No,No,No,No,Yes, ,Post-doctoral fellow, ,Spain, ,29,Male
45,50,10,10,20,10, , ,academic, ,Ecology, ,Yes,No,No,Yes,No,No,No,No,No,No, , , , ,most,most, , ,through request,No,No,No,No,No,No,No,No,No, ,agree strongly,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,neither agree nor disagree,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,disagree somewhat,agree somewhat,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,neither agree nor disagree,agree strongly,agree strongly,agree somewhat,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No, ,Yes - for all my datasets, ,State/regional government, ,No,No,No,No,No,No,No,No,No,Yes,No,fluxnet,Professor, ,Denmark, ,59,Male
46,10,10,10,70, , , ,commercial, ,Social sciences, ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No, , , , , , , , , ,No,No,No,No,No,No,No,Yes,Yes,culturally sensitive,agree somewhat,agree somewhat,agree somewhat,agree somewhat,neither agree nor disagree,disagree somewhat,disagree somewhat,disagree somewhat,neither agree nor disagree,neither agree nor disagree,agree somewhat,agree somewhat,disagree somewhat,disagree somewhat,disagree strongly,disagree strongly,disagree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,disagree strongly,agree strongly,disagree somewhat,agree somewhat,agree strongly,agree strongly,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No, ,Yes - for some of my datasets, ,Corporation, ,No,No,No,No,No,No,No,No,No,No,No, ,Researcher, ,United States of America,Alaska,34,Female
47, , , ,100, , , ,academic, ,Ecology, ,No,No,No,No,No,Yes,Yes,No,No,No, ,some,some,all,most,some,none, , ,No,No,No,Yes,No,No,No,No,No, ,agree somewhat,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,agree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,agree strongly,agree somewhat,agree strongly,agree somewhat,agree strongly,agree somewhat,neither agree nor disagree,agree strongly,agree strongly,agree strongly,agree strongly,agree strongly,agree somewhat,agree somewhat,agree strongly,agree strongly,agree somewhat,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,reanalysis data,No,"organisor, data quality",Federal/national government, ,Don't know,No,No,No,No,Yes,No,No,No,No,No, ,Post-doctoral fellow, ,United States of America,Montana, ,Female
